instrument,average_theo
E1AK2 C4755,0.1253
E1AK2 C4760,0.1148
E1AK2 C4765,0.1056
E1AK2 C4770,0.0979
E1AK2 C4775,0.0907
E1AK2 C4780,0.0847
E1AK2 C4785,0.0794
E1AK2 C4790,0.0749
E1AK2 C4795,0.0696
E1AK2 C4800,0.0665
E1AK2 C4805,0.0635
E1AK2 C4810,0.0611
E1AK2 C4820,0.0524
E1AK2 P2400,0.0189
E1AK2 P2500,0.0272
E1AK2 P2600,0.0300
E1AK2 P2650,0.0366
E1AK2 P2700,0.0448
E1AK2 P2750,0.0319
E1AK2 P2800,0.0394
E1AK2 P2850,0.0481
E1AK2 P2900,0.0583
E1AK2 P2950,0.0710
E1AK2 P3000,0.0869
E1AK2 P3050,0.1060
E1AK2 P3100,0.1272
E1AK2 P3150,0.1474
E1AK2 P3200,0.1814
E1AK2 P3250,0.2148
E1AK2 P3300,0.2357
E1AK2 P3310,0.2388
E1AK2 P3320,0.2419
E1AK2 P3330,0.2453
E1AK2 P3340,0.2493
E1AK2 P3350,0.2540
E1AK2 P3360,0.2595
E1AK2 P3370,0.2664
E1AK2 P3380,0.2745
E1AK2 P3390,0.2847
E1AK2 P3400,0.2964
E1AK2 P3410,0.3090
E1AK2 P3420,0.3223
E1AK2 P3430,0.3397
E1AK2 P3440,0.3554
E1AK2 P3450,0.3714
E1AK2 P3460,0.3877
E1AK2 P3470,0.4041
E1AK2 P3480,0.4205
E1AK2 P3490,0.4369
E1AK2 P3500,0.4534
E1AK2 P3510,0.4700
E1AK2 P3520,0.4865
E1AK2 P3530,0.5032
E1AK2 P3540,0.5198
E1AK2 P3550,0.5364
E1AK2 P3560,0.5532
E1AK2 P3570,0.5701
E1AK2 P3580,0.5869
E1AK2 P3590,0.6041
E1AK2 P3600,0.6211
E1AK2 P3610,0.6395
E1AK2 P3620,0.6581
E1AK2 P3630,0.6775
E1AK2 P3640,0.6979
E1AK2 P3650,0.7198
E1AK2 P3660,0.7433
E1AK2 P3670,0.7682
E1AK2 P3680,0.7950
E1AK2 P3690,0.8233
E1AK2 P3700,0.8532
E1AK2 P3710,0.8843
E1AK2 P3720,0.9169
E1AK2 P3730,0.9520
E1AK2 P3735,0.9699
E1AK2 P3740,0.9882
E1AK2 P3745,1.0067
E1AK2 P3750,1.0256
E1AK2 P3755,1.0446
E1AK2 P3760,1.0639
E1AK2 P3765,1.0835
E1AK2 P3770,1.1034
E1AK2 P3775,1.1238
E1AK2 P3780,1.1447
E1AK2 P3785,1.1658
E1AK2 P3790,1.1873
E1AK2 P3795,1.2094
E1AK2 P3800,1.2318
E1AK2 P3805,1.2551
E1AK2 P3810,1.2788
E1AK2 P3815,1.3029
E1AK2 P3820,1.3278
E1AK2 P3825,1.3535
E1AK2 P3830,1.3799
E1AK2 P3835,1.4071
E1AK2 P3840,1.4351
E1AK2 P3845,1.4639
E1AK2 P3850,1.4935
E1AK2 P3855,1.5238
E1AK2 P3860,1.5551
E1AK2 P3865,1.5872
E1AK2 P3870,1.6203
E1AK2 P3875,1.6544
E1AK2 P3880,1.6895
E1AK2 P3885,1.7259
E1AK2 P3890,1.7632
E1AK2 P3895,1.8019
E1AK2 P3900,1.8412
E1AK2 P3905,1.8822
E1AK2 P3910,1.9247
E1AK2 P3915,1.9685
E1AK2 P3920,2.0138
E1AK2 P3925,2.0608
E1AK2 P3930,2.1094
E1AK2 P3935,2.1600
E1AK2 P3940,2.2120
E1AK2 P3945,2.2666
E1AK2 P3950,2.3233
E1AK2 P3955,2.3822
E1AK2 P3960,2.4433
E1AK2 P3965,2.5068
E1AK2 P3970,2.5727
E1AK2 P3975,2.6420
E1AK2 P3980,2.7140
E1AK2 P3985,2.7895
E1AK2 P3990,2.8698
E1AK2 P3995,2.9530
E1AK2 P4000,3.0400
E1AK2 P4005,3.1308
E1AK2 P4010,3.2256
E1AK2 P4015,3.3245
E1AK2 P4020,3.4276
E1AK2 P4025,3.5356
E1AK2 P4030,3.6482
E1AK2 P4035,3.7658
E1AK2 P4040,3.8890
E1AK2 P4045,4.0175
E1AK2 P4050,4.1521
E1AK2 P4055,4.2926
E1AK2 P4060,4.4397
E1AK2 P4065,4.5936
E1AK2 P4070,4.7550
E1AK2 P4075,4.9238
E1AK2 P4080,5.1006
E1AK2 P4085,5.2860
E1AK2 P4090,5.4798
E1AK2 P4095,5.6846
E1AK2 P4100,5.8968
E1AK2 P4105,6.1185
E1AK2 P4110,6.3493
E1AK2 P4115,6.5832
E1AK2 P4120,6.8281
E1AK2 P4125,7.0840
E1AK2 P4130,7.3516
E1AK2 P4135,7.6313
E1AK2 P4140,7.9235
E1AK2 P4145,8.2284
E1AK2 P4150,8.5463
E1AK2 P4155,8.8780
E1AK2 P4160,9.2229
E1AK2 P4165,9.5830
E1AK2 P4170,9.9582
E1AK2 P4175,10.3461
E1AK2 P4180,10.7525
E1AK2 P4185,11.1748
E1AK2 P4190,11.6136
E1AK2 P4195,12.0699
E1AK2 P4200,12.5431
E1AK2 P4205,13.0346
E1AK2 P4210,13.5451
E1AK2 P4215,14.0720
E1AK2 P4220,14.6206
E1AK2 P4225,15.1895
E1AK2 P4230,15.7787
E1AK2 P4235,16.3896
E1AK2 P4240,17.0233
E1AK2 P4245,17.6793
E1AK2 P4250,18.3586
E1AK2 P4255,19.0619
E1AK2 P4260,19.7907
E1AK2 P4265,20.5446
E1AK2 P4270,21.3234
E1AK2 P4275,22.1301
E1AK2 P4280,22.9668
E1AK2 P4285,23.8317
E1AK2 P4290,24.7255
E1AK2 P4295,25.6487
E1AK2 P4300,26.5969
E1AK2 P4305,27.5776
E1AK2 P4310,28.5918
E1AK2 P4315,29.6408
E1AK2 P4320,30.7251
E1AK2 P4325,31.8452
E1AK2 P4330,33.0029
E1AK2 P4335,34.2008
E1AK2 P4340,35.4345
E1AK2 P4345,36.7077
E1AK2 P4350,38.0211
E1AK2 P4355,39.3761
E1AK2 P4360,40.7731
E1AK2 P4365,42.2170
E1AK2 P4370,43.7334
E1AK2 P4375,45.2866
E1AK2 P4380,46.8798
E1AK2 P4385,48.5138
E1AK2 P4390,50.1913
E1AK2 P4395,51.9124
E1AK2 P4400,53.6786
E1AK2 P4405,55.4915
E1AK2 P4410,57.3526
E1AK2 P4415,59.2639
E1AK2 P4420,61.2271
E1AK2 P4425,63.2494
E1AK2 P4430,65.3387
E1AK2 P4435,67.4910
E1AK2 P4440,69.7078
E1AK2 P4445,71.9918
E1AK2 P4450,74.3428
E1AK2 P4455,76.7644
E1AK2 P4460,79.2569
E1AK2 P4465,81.8218
E1AK2 P4470,84.4611
E1AK2 P4475,87.1772
E1AK2 P4480,89.9662
E1AK2 P4485,92.8419
E1AK2 P4490,95.7967
E1AK2 P4495,98.8300
E1AK2 P4500,101.9429
E1AK2 P4505,105.1349
E1AK2 P4510,108.4059
E1AK2 P4515,111.7570
E1AK2 P4520,115.1869
E1AK2 P4525,118.6963
E1AK2 P4530,122.2832
E1AK2 P4535,125.9469
E1AK2 P4540,129.6775
E1AK2 P4545,133.4758
E1AK2 P4550,137.3487
E1AK2 P4555,141.2932
E1AK2 P4560,145.3060
E1AK2 P4565,149.3857
E1AK2 P4570,153.5311
E1AK2 P4575,157.7390
E1AK2 P4580,162.0050
E1AK2 P4585,166.3297
E1AK2 P4590,170.7079
E1AK2 P4595,175.1415
E1AK2 P4600,179.6241
E1AK2 P4605,184.1512
E1AK2 P4610,188.7203
E1AK2 P4615,193.3282
E1AK2 P4620,197.9739
E1AK2 P4625,202.6538
E1AK2 P4630,207.3654
E1AK2 P4635,212.1052
E1AK2 P4640,216.8708
E1AK2 P4645,221.6665
E1AK2 P4650,226.4783
E1AK2 P4655,231.3028
E1AK2 P4660,236.1522
E1AK2 P4665,241.0180
E1AK2 P4670,245.8980
E1AK2 P4675,250.9702
E1CK2 C3590,836.0694
E1CK2 C3600,826.1073
E1CK2 C3610,816.1463
E1CK2 C3620,806.1868
E1CK2 C3630,796.2285
E1CK2 C3640,786.2715
E1CK2 C3650,776.3160
E1CK2 C3660,766.3624
E1CK2 C3670,756.4106
E1CK2 C3680,746.4602
E1CK2 C3690,736.5113
E1CK2 C3700,726.5669
E1CK2 C3710,716.6239
E1CK2 C3720,706.6825
E1CK2 C3730,696.4493
E1CK2 C3735,691.4776
E1CK2 C3740,686.5063
E1CK2 C3745,681.5356
E1CK2 C3750,676.5655
E1CK2 C3755,671.5960
E1CK2 C3760,666.6274
E1CK2 C3765,661.6593
E1CK2 C3770,656.6921
E1CK2 C3775,651.6513
E1CK2 C3780,646.6843
E1CK2 C3785,641.7184
E1CK2 C3790,636.7533
E1CK2 C3795,631.7891
E1CK2 C3800,626.8256
E1CK2 C3805,621.8634
E1CK2 C3810,616.9025
E1CK2 C3815,611.9423
E1CK2 C3820,606.9834
E1CK2 C3825,602.0260
E1CK2 C3830,597.0692
E1CK2 C3835,592.1141
E1CK2 C3840,587.1605
E1CK2 C3845,582.2081
E1CK2 C3850,577.2572
E1CK2 C3855,572.3077
E1CK2 C3860,567.3599
E1CK2 C3865,562.4138
E1CK2 C3870,557.4694
E1CK2 C3875,552.5266
E1CK2 C3880,547.5856
E1CK2 C3885,542.6470
E1CK2 C3890,537.7103
