instrument,average_theo
UD:1V: 12 0418910123,-0.0030
UD:1V: 12 0418910125,-0.0074
UD:1V: 12 0418910128,-0.0011
UD:1V: 12 0418910129,0.0085
UD:1V: 12 0418910131,-0.0011
UD:1V: 12 0418910132,-0.0011
UD:1V: 12 0418910135,46.9129
UD:1V: 12 0418910140,8.0154
UD:1V: 12 0418910153,5.3321
UD:1V: 12 0418910171,2.9132
UD:1V: 12 0418910173,1.0004
UD:1V: 12 0418910368,16.8046
UD:1V: 12 0418910372,-3.1409
UD:1V: 12 0418910623,0.1343
UD:1V: 12 0418910657,-0.0017
UD:1V: 12 0418910662,-0.0017
UD:1V: 12 0418910664,-0.0016
UD:1V: 12 0418910665,-0.0013
UD:1V: 12 0418910666,-0.0010
UD:1V: 12 0418910667,-0.0005
UD:1V: 12 0418910668,0.0005
UD:1V: 12 0418910786,78.6881
UD:1V: 12 0418910874,1.8196
UD:1V: 12 0418910969,-0.0002
UD:1V: 12 0418911178,11.2415
UD:1V: 12 0418911199,0.0000
UD:1V: 12 0418911419,3.2276
UD:1V: 12 0418911899,-0.0017
UD:1V: 12 0418912041,46.8087
UD:1V: 12 0418917458,0.1630
UD:1V: 12 0418918070,0.0004
UD:1V: 12 0418918078,0.0009
UD:1V: 12 0418918201,0.0019
UD:1V: 12 0418918249,0.0015
UD:1V: 12 0418918334,-0.9907
UD:1V: 12 0418918493,24.6096
UD:1V: 12 0418918707,-0.6969
UD:1V: 12 0418918752,-6.5137
UD:1V: 12 0418918810,3.5577
UD:1V: 12 0418918815,2.6296
UD:1V: 12 0418918978,-2.4532
UD:1V: 12 0418918993,0.0132
UD:1V: 12 0418919034,3.2329
UD:1V: 12 0418919039,0.0041
UD:1V: 12 0418919056,3.3087
UD:1V: 12 0418919059,48.3278
UD:1V: 12 0418919093,0.0735
UD:1V: 12 0418919115,0.0451
UD:1V: 12 0418919163,48.3639
UD:1V: 12 0418919266,0.2747
UD:1V: 12 0418919309,0.6280
UD:1V: 12 0418919367,-0.0746
UD:1V: 12 0418919614,7.5554
UD:1V: 12 0418919630,49.7517
UD:1V: 12 0418919683,7.5600
UD:1V: 12 0418919739,5.6436
UD:1V: 12 0418919838,0.0025
UD:1V: 12 0419860383,-6.4353
UD:1V: 12 0419860384,-16.8438
UD:1V: 12 0419860408,-48.7660
UD:1V: 12 0419860482,46.1398
UD:1V: 12 0419860625,2.7283
UD:1V: 12 0419861028,-0.0702
UD:1V: 12 0419861033,-0.2253
UD:1V: 12 0419861035,-0.3124
UD:1V: 12 0419861084,-0.2313
UD:1V: 12 0419861102,-0.1695
UD:1V: 12 0419861286,-3.5287
UD:1V: 12 0419861294,2.8343
UD:1V: 12 0419861400,-4.9670
UD:1V: 12 0419861442,0.0701
UD:1V: 12 0419861448,0.1578
UD:1V: 12 0419861450,0.2976
UD:1V: 12 0419862183,3.6317
UD:1V: 12 0419862184,16.3597
UD:1V: 12 0419862185,36.4799
UD:1V: 12 0419862186,-0.0965
UD:1V: 12 0419862187,6.5835
UD:1V: 12 0419862273,0.2483
UD:1V: 12 0419862274,1.1684
UD:1V: 12 0419862275,19.5147
UD:1V: 12 0419862276,0.2325
UD:1V: 12 0419862277,1.0546
UD:1V: 12 0419862278,18.8068
UD:1V: 12 0419862279,16.9057
UD:1V: 12 0419862280,0.1717
UD:1V: 12 0419862281,2.3497
UD:1V: 12 0419862282,0.6417
UD:1V: 12 0419862284,0.0992
UD:1V: 12 0419862285,1.7284
UD:1V: 12 0419862286,0.0508
UD:1V: 12 0419862287,0.8231
UD:1V: 12 0419862288,0.1818
UD:1V: 12 0419862289,0.0004
UD:1V: 12 0419862290,-0.0170
UD:1V: 12 0419862291,0.0856
UD:1V: 12 0419862294,-0.0248
UD:1V: 12 0419862297,-0.0025
UD:1V: 12 0419862298,0.0009
UD:1V: 12 0419862299,-0.0004
UD:1V: 12 0419862303,10.7598
UD:1V: 12 0419862304,1.4657
UD:1V: 12 0419862305,8.4357
UD:1V: 12 0419862306,1.0833
UD:1V: 12 0419862307,1.5607
UD:1V: 12 0419862308,0.3339
UD:1V: 12 0419862309,0.2396
UD:1V: 12 0419862310,0.1727
UD:1V: 12 0419862311,-0.0018
UD:1V: 12 0419862314,2.1389
UD:1V: 12 0419862558,34.8372
UD:1V: 12 0419862583,20.1258
UD:1V: 12 0419862626,50.8802
UD:1V: 12 0419862728,-25.9838
UD:1V: 12 0419862764,-10.0033
UD:1V: 12 0419862936,57.0320
UD:1V: 12 0419863092,-14.1584
UD:1V: 12 0419863135,70.2236
UD:1V: 12 0419863138,35.6676
UD:1V: 12 0419863187,11.0119
UD:1V: 12 0419863320,-0.4880
UD:1V: 12 0419863489,2.6908
UD:1V: 12 0419863568,-0.0866
UD:1V: 12 0419863577,-0.0975
UD:1V: 12 0419863579,-0.1025
UD:1V: 12 0419863583,-0.0926
UD:1V: 12 0419863585,-0.0765
UD:1V: 12 0419863593,-0.0646
UD:1V: 12 0419863595,-0.0483
UD:1V: 12 0419863600,-0.0269
UD:1V: 12 0419863607,-0.0880
UD:1V: 12 0419863613,-0.0837
UD:1V: 12 0419863614,-0.0774
UD:1V: 12 0419863616,-0.0694
UD:1V: 12 0419863617,-0.0569
UD:1V: 12 0419863701,-0.0392
UD:1V: 12 0419863752,2.3640
UD:1V: 12 0419863817,-4.5278
UD:1V: 12 0419863851,15.5233
UD:1V: 12 0419864000,6.2338
UD:1V: 12 0419864215,-6.7264
UD:1V: 12 0419864288,37.5618
UD:1V: 12 0419864358,-44.9620
UD:1V: 12 0419864380,69.5463
UD:1V: 12 0419864465,-16.8351
UD:1V: 12 0419864561,5.3109
UD:1V: 12 0419864719,-9.7090
UD:1V: 12 0419864874,19.1555
UD:1V: 12 0419864946,-5.7315
UD:1V: 12 0419865098,19.7299
UD:1V: 12 0419865276,1.4481
UD:1V: 12 0419865312,18.6118
UD:1V: 12 0419865315,21.1514
UD:1V: 12 0419865414,-1.5151
UD:1V: 12 0419865685,-0.2348
UD:1V: 12 0419865697,-0.0418
UD:1V: 12 0419865700,-0.0213
UD:1V: 12 0419865719,-0.0021
UD:1V: 12 0419865722,-0.0138
UD:1V: 12 0419865852,17.4484
UD:1V: 12 0419865902,-0.1019
UD:1V: 12 0419865937,0.0256
UD:1V: 12 0419865941,-0.2321
UD:1V: 12 0419865956,0.0570
UD:1V: 12 0419865970,0.0920
UD:1V: 12 0419866013,19.2977
UD:1V: 12 0419866022,0.1414
UD:1V: 12 0419866024,0.1899
UD:1V: 12 0419866029,0.0976
UD:1V: 12 0419866075,0.0057
UD:1V: 12 0419866081,0.0370
UD:1V: 12 0419866085,0.0622
UD:1V: 12 0419866161,0.0150
UD:1V: 12 0419866169,0.0385
UD:1V: 12 0419866175,0.0704
UD:1V: 12 0419866178,0.1133
UD:1V: 12 0419866185,-1.3211
UD:1V: 12 0419866222,67.6310
UD:1V: 12 0419866477,-6.2021
UD:1V: 12 0419866515,-25.0410
UD:1V: 12 0419866522,-0.6252
UD:1V: 13 0404918281,-0.3819
UD:1V: 13 0404918282,-0.2270
UD:1V: 13 0404918283,-0.1270
UD:1V: 13 0404918287,-0.1375
UD:1V: 13 0418851902,-0.0790
UD:1V: 13 0418853251,84.6225
UD:1V: 13 0418854102,-0.0387
UD:1V: 13 0418854374,-0.1432
UD:1V: 13 0418854434,-0.1102
UD:1V: 13 0418854477,-0.1070
UD:1V: 13 0418855230,46.7428
UD:1V: 13 0418859246,2.2125
UD:1V: 13 0418859323,-0.6320
UD:1V: 13 0418859355,0.3575
UD:1V: 13 0418859617,-0.1013
UD:1V: 13 0418859683,-0.0895
UD:1V: 13 0418859960,7.8641
UD:1V: 13 0418860019,18.9923
UD:1V: 13 0418904976,-4.5973
UD:1V: 13 0418904977,-23.4933
UD:1V: 13 0418904999,-22.4339
UD:1V: 13 0418905008,23.0497
UD:1V: 13 0418905011,-48.5072
UD:1V: 13 0418905427,0.5655
UD:1V: 13 0418905597,36.2873
UD:1V: 13 0418905952,18.0712
UD:1V: 13 0418905961,-0.4603
UD:1V: 13 0418906356,5.7159
UD:1V: 13 0418908654,-0.1837
UD:1V: 13 0418908700,0.0429
UD:1V: 13 0418918818,0.5158
UD:1V: 13 0418918822,-0.0552
UD:1V: 13 0418919280,0.0214
UD:1V: 13 0419860815,-4.2329
UD:1V: 13 0419861029,-0.1771
UD:1V: 13 0419861037,-0.2997
UD:1V: 13 0419861475,68.3870
UD:1V: 13 0419866053,-2.5815
UD:1V: 23 0418850451,0.0242
UD:1V: 23 0418851928,0.6794
UD:1V: 23 0418854753,-25.0131
UD:1V: 23 0418856767,2.0049
UD:1V: 23 0418857283,0.8320
UD:1V: 23 0418858828,135.0192
UD:1V: 23 0418859255,0.1638
UD:1V: 23 0418859797,0.2114
UD:1V: 23 0418907283,4.5912
UD:1V: 23 0418907359,-0.0111
UD:1V: 23 0418907418,18.0870
UD:1V: 23 0418908093,25.9956
UD:1V: 23 0418908134,12.1805
UD:1V: 23 0418919054,-0.0053
UD:1V: 23 0419861678,7.0010
UD:1V: 23 0419862255,17.6434
UD:1V: 23 0419862859,3.7718
UD:1V: 23 0419863760,15.8424
UD:1V: 23 0419864416,47.0050
UD:1V: 23 0419865573,0.0025
UD:1V: 3C 0418855550,94.6812
UD:1V: 3C 0418859428,45.8906
UD:1V: 3C 0418859598,5.7709
UD:1V: 3C 0419864876,36.2359
UD:1V: 3P 0418912010,50.1255
UD:1V: 3P 0419861209,98.7052
UD:1V: 3W 0418853376,14.7016
UD:1V: 3W 0418853621,0.9689
UD:1V: 3W 0418854264,-34.9824
UD:1V: 3W 0418854292,-32.0044
UD:1V: 3W 0418854309,-34.7641
UD:1V: 3W 0418854335,-34.5669
UD:1V: 3W 0418854667,39.4690
UD:1V: 3W 0418854736,12.5013
UD:1V: 3W 0418854788,-10.2827
UD:1V: 3W 0418854810,-17.8071
UD:1V: 3W 0418855053,-44.2755
UD:1V: 3W 0418855060,-33.2853
UD:1V: 3W 0418855064,-27.9855
UD:1V: 3W 0418855539,-28.9549
UD:1V: 3W 0418855769,-46.8799
UD:1V: 3W 0418855892,-20.1826
UD:1V: 3W 0418856558,-177.4857
UD:1V: 3W 0418856685,-28.1558
UD:1V: 3W 0418857275,74.4371
UD:1V: 3W 0418859329,-49.9809
UD:1V: 3W 0418860272,-17.8754
UD:1V: 3W 0418904876,4.8316
UD:1V: 3W 0418904877,9.0442
UD:1V: 3W 0418906462,12.5801
UD:1V: 3W 0418906727,-42.0628
UD:1V: 3W 0418907243,-2.1200
UD:1V: 3W 0418909213,-22.3361
UD:1V: 3W 0418910025,92.7978
UD:1V: 3W 0418910443,0.0501
UD:1V: 3W 0418910877,88.3675
UD:1V: 3W 0418918199,14.6796
UD:1V: 3W 0418918202,40.7467
UD:1V: 3W 0418918214,63.6985
UD:1V: 3W 0418918240,87.6749
UD:1V: 3W 0418919335,-22.5238
UD:1V: 3W 0418919680,-12.4138
UD:1V: 3W 0419862063,11.5351
UD:1V: 3W 0419862582,49.5121
UD:1V: 3W 0419862594,12.1250
UD:1V: 3W 0419863562,15.8892
UD:1V: 3W 0419864538,-17.1519
UD:1V: 3W 0419866182,15.9670
UD:1V: BO 0404932405,17.2673
UD:1V: BO 0405860751,0.1454
UD:1V: BO 0418850032,-0.0032
UD:1V: BO 0418850035,2.3825
UD:1V: BO 0418850053,6.6111
UD:1V: BO 0418850245,7.9301
UD:1V: BO 0418850308,14.3723
UD:1V: BO 0418850424,4.0881
UD:1V: BO 0418850455,0.3084
UD:1V: BO 0418850477,28.1496
UD:1V: BO 0418850515,2.6227
UD:1V: BO 0418850718,8.7436
UD:1V: BO 0418851045,9.5109
UD:1V: BO 0418851258,224.3610
UD:1V: BO 0418851352,3.6064
UD:1V: BO 0418851545,0.4776
UD:1V: BO 0418851935,4.2501
UD:1V: BO 0418852248,0.0111
UD:1V: BO 0418852541,-0.2225
UD:1V: BO 0418852697,5.7341
UD:1V: BO 0418852889,7.1781
UD:1V: BO 0418852990,-398.4595
UD:1V: BO 0418853300,194.5282
UD:1V: BO 0418853578,2.5723
UD:1V: BO 0418853762,6.1668
UD:1V: BO 0418853803,3.5355
UD:1V: BO 0418853902,2.8792
UD:1V: BO 0418853992,2.7359
UD:1V: BO 0418854033,3.8440
UD:1V: BO 0418854037,1.9606
UD:1V: BO 0418854112,2.3744
UD:1V: BO 0418854123,3.3678
UD:1V: BO 0418854127,4.9401
UD:1V: BO 0418854136,56.4118
UD:1V: BO 0418854166,-0.3915
UD:1V: BO 0418854174,-36.0224
UD:1V: BO 0418854510,0.5330
UD:1V: BO 0418854864,10.4396
UD:1V: BO 0418854911,-15.8081
UD:1V: BO 0418854922,1.3047
UD:1V: BO 0418854935,224.3589
UD:1V: BO 0418854966,0.1865
UD:1V: BO 0418855070,0.6992
UD:1V: BO 0418855116,-161.9891
UD:1V: BO 0418855181,2.7359
UD:1V: BO 0418855469,32.4588
UD:1V: BO 0418855535,0.1440
UD:1V: BO 0418855690,0.1291
UD:1V: BO 0418855867,188.7829
UD:1V: BO 0418855923,1.0492
UD:1V: BO 0418855932,0.6230
UD:1V: BO 0418855967,4.9315
UD:1V: BO 0418856309,0.1740
UD:1V: BO 0418856617,0.3353
UD:1V: BO 0418856959,30.3568
UD:1V: BO 0418857073,5.1083
UD:1V: BO 0418857308,-401.1822
UD:1V: BO 0418857534,198.8036
UD:1V: BO 0418857579,69.7172
UD:1V: BO 0418857693,1.3039
UD:1V: BO 0418857814,4.9087
UD:1V: BO 0418858001,-336.3821
UD:1V: BO 0418858039,10.4396
UD:1V: BO 0418858179,5.4559
UD:1V: BO 0418858311,7.5348
UD:1V: BO 0418858374,7.4435
UD:1V: BO 0418858621,5.2946
UD:1V: BO 0418858668,4.9315
UD:1V: BO 0418858849,61.6921
UD:1V: BO 0418858989,1.9359
UD:1V: BO 0418859217,1.0546
UD:1V: BO 0418859280,1.9723
UD:1V: BO 0418859371,64.1521
UD:1V: BO 0418859437,178.0697
UD:1V: BO 0418859446,0.0932
UD:1V: BO 0418859512,1.8303
UD:1V: BO 0418859532,1.7050
UD:1V: BO 0418859745,1.1468
UD:1V: BO 0418859842,1.2258
UD:1V: BO 0418860126,4.3283
UD:1V: BO 0418860244,1.5295
UD:1V: BO 0418860248,0.8644
UD:1V: BO 0418860285,0.3197
UD:1V: BO 0418860292,4.2983
UD:1V: BO 0418904683,3.9444
UD:1V: BO 0418904684,6.1736
UD:1V: BO 0418904688,5.3907
UD:1V: BO 0418904689,-19.9721
UD:1V: BO 0418904704,32.4307
UD:1V: BO 0418904705,88.9015
UD:1V: BO 0418904706,11.3756
UD:1V: BO 0418904745,2.4403
UD:1V: BO 0418904846,2.2198
UD:1V: BO 0418904863,67.8799
UD:1V: BO 0418904864,42.9683
UD:1V: BO 0418904866,17.6204
UD:1V: BO 0418904867,17.9648
UD:1V: BO 0418904868,20.9453
UD:1V: BO 0418904869,16.0118
UD:1V: BO 0418904870,28.6380
UD:1V: BO 0418904875,44.9348
UD:1V: BO 0418904913,0.2177
UD:1V: BO 0418905035,0.0252
UD:1V: BO 0418905048,8.8686
UD:1V: BO 0418905093,1.3716
UD:1V: BO 0418905410,0.9087
UD:1V: BO 0418905413,3.8481
UD:1V: BO 0418905529,0.8721
UD:1V: BO 0418905567,5.1807
UD:1V: BO 0418905883,-0.3841
UD:1V: BO 0418905922,-0.3841
UD:1V: BO 0418905934,2.2631
UD:1V: BO 0418905969,0.0487
UD:1V: BO 0418906083,0.0089
UD:1V: BO 0418906090,0.0932
UD:1V: BO 0418906099,0.3130
UD:1V: BO 0418906101,1.3974
UD:1V: BO 0418906144,10.5187
UD:1V: BO 0418906162,0.0395
UD:1V: BO 0418906257,7.4722
UD:1V: BO 0418906258,0.0158
UD:1V: BO 0418906266,6.6750
UD:1V: BO 0418906284,0.0399
UD:1V: BO 0418906307,5.6449
UD:1V: BO 0418906308,-5.0287
UD:1V: BO 0418906312,3.2345
UD:1V: BO 0418906332,0.0249
UD:1V: BO 0418906380,0.0155
UD:1V: BO 0418906392,2.4539
UD:1V: BO 0418906394,1.1992
UD:1V: BO 0418906398,0.3791
UD:1V: BO 0418906419,224.3778
UD:1V: BO 0418906433,0.1483
UD:1V: BO 0418906620,224.3757
UD:1V: BO 0418906627,0.0667
UD:1V: BO 0418906641,0.1638
UD:1V: BO 0418906719,104.8089
UD:1V: BO 0418906738,-401.1822
UD:1V: BO 0418906765,0.0281
UD:1V: BO 0418906790,0.0107
UD:1V: BO 0418906813,7.5421
UD:1V: BO 0418906818,7.5488
UD:1V: BO 0418906886,0.1289
UD:1V: BO 0418906888,-398.4595
UD:1V: BO 0418906962,1.3974
UD:1V: BO 0418906966,1.8815
UD:1V: BO 0418907020,7.4704
UD:1V: BO 0418907045,0.0338
UD:1V: BO 0418907102,0.1628
UD:1V: BO 0418907133,0.5245
UD:1V: BO 0418907180,1.9723
UD:1V: BO 0418907310,6.1065
UD:1V: BO 0418907376,0.0622
UD:1V: BO 0418907439,12.1154
UD:1V: BO 0418907482,0.4555
UD:1V: BO 0418907522,-38.4525
UD:1V: BO 0418907582,46.8186
UD:1V: BO 0418907630,10.9112
UD:1V: BO 0418907632,3.7587
UD:1V: BO 0418907769,104.7925
UD:1V: BO 0418907813,0.4934
UD:1V: BO 0418907981,0.0514
UD:1V: BO 0418907982,22.7037
UD:1V: BO 0418908380,-403.2643
UD:1V: BO 0418908530,0.1673
UD:1V: BO 0418908651,8.9502
UD:1V: BO 0418908689,0.2919
UD:1V: BO 0418908730,0.0153
UD:1V: BO 0418908855,17.1971
UD:1V: BO 0418909044,17.0884
UD:1V: BO 0418909138,224.2499
UD:1V: BO 0418909191,0.1927
UD:1V: BO 0418909209,-401.7509
UD:1V: BO 0418909303,12.0137
UD:1V: BO 0418909835,9.0261
UD:1V: BO 0418909841,3.6932
UD:1V: BO 0418909939,0.0407
UD:1V: BO 0418910029,5.9027
UD:1V: BO 0418910157,3.6485
UD:1V: BO 0418910364,0.0496
UD:1V: BO 0418910409,0.1027
UD:1V: BO 0418910899,7.9774
UD:1V: BO 0418911201,1.8826
UD:1V: BO 0418911398,0.1751
UD:1V: BO 0418911437,5.4028
UD:1V: BO 0418911442,0.0186
UD:1V: BO 0418911472,1.6905
UD:1V: BO 0418917834,15.1204
UD:1V: BO 0418917853,198.8905
UD:1V: BO 0418917861,11.3996
UD:1V: BO 0418918090,2.6803
UD:1V: BO 0418918103,1.3330
UD:1V: BO 0418918212,31.7437
UD:1V: BO 0418918459,10.0205
UD:1V: BO 0418918813,2.8512
UD:1V: BO 0418918816,4.6458
UD:1V: BO 0418919050,14.3519
UD:1V: BO 0418919645,7.5618
UD:1V: BO 0418919676,-19.9721
UD:1V: BO 0418919814,-154.2613
UD:1V: BO 0419860316,-0.2047
UD:1V: BO 0419860371,3.3399
UD:1V: BO 0419860392,6.9177
UD:1V: BO 0419860449,2.2008
UD:1V: BO 0419860463,22.3724
UD:1V: BO 0419860464,14.7181
UD:1V: BO 0419860506,1.1576
UD:1V: BO 0419860545,3.9543
UD:1V: BO 0419860589,3.4728
UD:1V: BO 0419860591,7.6886
UD:1V: BO 0419860593,9.4539
UD:1V: BO 0419860702,10.8130
UD:1V: BO 0419860714,4.6474
UD:1V: BO 0419860740,0.5923
UD:1V: BO 0419860772,2.1923
UD:1V: BO 0419860989,218.6871
UD:1V: BO 0419860995,5.6138
UD:1V: BO 0419861013,4.2292
UD:1V: BO 0419861020,20.6306
UD:1V: BO 0419861022,7.6824
UD:1V: BO 0419861278,3.7864
UD:1V: BO 0419861333,0.6348
UD:1V: BO 0419861334,0.7485
UD:1V: BO 0419861335,2.2033
UD:1V: BO 0419861337,2.7221
UD:1V: BO 0419861362,23.0952
UD:1V: BO 0419861433,0.0110
UD:1V: BO 0419861446,33.6327
UD:1V: BO 0419861447,32.8347
UD:1V: BO 0419861604,3.6345
UD:1V: BO 0419861606,3.1366
UD:1V: BO 0419861704,58.5226
UD:1V: BO 0419861921,14.3355
UD:1V: BO 0419861988,7.9746
UD:1V: BO 0419861989,8.8127
UD:1V: BO 0419861992,8.6615
UD:1V: BO 0419861995,5.8031
UD:1V: BO 0419861996,14.1424
UD:1V: BO 0419861999,17.5675
UD:1V: BO 0419862001,12.9718
UD:1V: BO 0419862004,20.3273
UD:1V: BO 0419862005,10.5303
UD:1V: BO 0419862006,9.2052
UD:1V: BO 0419862008,15.7818
UD:1V: BO 0419862009,18.5930
UD:1V: BO 0419862010,11.4014
UD:1V: BO 0419862011,2.8213
UD:1V: BO 0419862148,7.0293
UD:1V: BO 0419862150,10.0522
UD:1V: BO 0419862154,21.2170
UD:1V: BO 0419862182,1.6651
UD:1V: BO 0419862445,2.5994
UD:1V: BO 0419863452,0.7620
UD:1V: BO 0419863639,7.3155
UD:1V: BO 0419864588,1.3154
UD:1V: BO 0419864795,1.2102
UD:1V: BO 0419864802,3.2033
UD:1V: BO 0419864811,1.0878
UD:1V: BO 0419864954,16.8294
UD:1V: BO 0419865016,1.4294
UD:1V: BO 0419865025,12.7170
UD:1V: BO 0419865027,7.5657
UD:1V: BO 0419865028,7.6170
UD:1V: BO 0419865119,4.6983
UD:1V: BO 0419865229,15.4125
UD:1V: BO 0419865245,20.9100
UD:1V: BO 0419865311,0.4886
UD:1V: BO 0419865323,0.3507
UD:1V: BO 0419865500,0.7546
UD:1V: BO 0419865806,1.5909
UD:1V: BO 0419866014,1.3149
UD:1V: BO 0419866480,3.8142
UD:1V: BO 0419866501,1.0976
UD:1V: BO 0419866507,22.3949
UD:1V: CO 0418850257,0.0353
UD:1V: CO 0418853191,-0.1177
UD:1V: CO 0418855461,0.0429
UD:1V: CO 0418855703,-274.6900
UD:1V: CO 0418856557,0.3228
UD:1V: CO 0418856608,1.2989
UD:1V: CO 0418858272,4.0173
UD:1V: CO 0418859071,0.5728
UD:1V: CO 0418859517,7.8773
UD:1V: CO 0418859670,0.3078
UD:1V: CO 0418859741,5.0268
UD:1V: CO 0418908539,2.2559
UD:1V: CO 0418911571,0.3153
UD:1V: CO 0418919776,-174.0817
UD:1V: CO 0419860549,0.2188
UD:1V: DB 0418853896,32.1239
UD:1V: DB 0418853935,33.3545
UD:1V: DB 0418853968,34.6418
UD:1V: DB 0418854069,50.5191
UD:1V: DB 0418854169,57.9235
UD:1V: DB 0418854664,1.5261
UD:1V: DB 0418856130,3.4073
UD:1V: DB 0418856867,5.1745
UD:1V: DB 0418856878,2.8308
UD:1V: DB 0418857449,104.8272
UD:1V: DB 0418857905,0.6846
UD:1V: DB 0418858872,4.7460
UD:1V: DB 0418858876,3.2657
UD:1V: DB 0418859174,329.1921
UD:1V: DB 0418859208,144.8995
UD:1V: DB 0418859499,92.4196
UD:1V: DB 0418859723,11.8247
UD:1V: DB 0418904594,37.2583
UD:1V: DB 0418906861,43.7544
UD:1V: DB 0418908845,0.0796
UD:1V: DG 0404855653,2.7670
UD:1V: DG 0418850405,-12.1516
UD:1V: DG 0418853836,40.1201
UD:1V: DG 0418854650,6.9260
UD:1V: DG 0418855048,15.3691
UD:1V: DG 0418857089,-5.3804
UD:1V: DG 0418858044,18.0712
UD:1V: DG 0418858502,12.6853
UD:1V: DG 0418858537,20.4206
UD:1V: DG 0418859595,-9.0256
UD:1V: DG 0418859770,28.0489
UD:1V: DG 0418905422,106.0914
UD:1V: DG 0418906780,12.1601
UD:1V: DG 0418907458,1.2968
UD:1V: DG 0418909976,10.1645
UD:1V: DG 0418911428,1.1617
UD:1V: DG 0419862072,-1.9555
UD:1V: DG 0419863443,12.4816
UD:1V: DG 0419864527,36.6785
UD:1V: DG 0419864951,21.6139
UD:1V: GN 0404856021,0.0358
UD:1V: GN 0404917975,0.0153
UD:1V: GN 0404917980,0.0240
UD:1V: GN 0404918288,14.0527
UD:1V: GN 0404918336,13.0498
UD:1V: GN 0404918361,4.3103
UD:1V: GN 0404932044,0.2874
UD:1V: GN 0405870078,-18.4304
UD:1V: GN 0406874331,19.3454
UD:1V: GN 0406874347,27.1884
UD:1V: GN 0406878904,5.7435
UD:1V: GN 0406881817,18.8724
UD:1V: GN 0406888772,-2.2086
UD:1V: GN 0407889729,2.5978
UD:1V: GN 0408907958,8.9301
UD:1V: GN 0408908224,0.4882
UD:1V: GN 0411858645,-4.1067
UD:1V: GN 0411923306,6.5355
UD:1V: GN 0411923314,3.3129
UD:1V: GN 0412861637,2.2490
UD:1V: GN 0412862470,0.2413
UD:1V: GN 0412871830,-5.4959
UD:1V: GN 0412872091,-18.0265
UD:1V: GN 0412873555,9.0525
UD:1V: GN 0413877015,-8.6220
UD:1V: GN 0413884216,4.4796
UD:1V: GN 0413884262,-3.3284
UD:1V: GN 0413884971,5.9836
UD:1V: GN 0413885419,-0.7382
UD:1V: GN 0413887227,-0.9090
UD:1V: GN 0414891566,-4.4115
UD:1V: GN 0414893731,3.5343
UD:1V: GN 0414896328,17.9876
UD:1V: GN 0414897887,-0.2113
UD:1V: GN 0414898525,-0.8607
UD:1V: GN 0414901759,-0.5347
UD:1V: GN 0414902493,-8.3405
UD:1V: GN 0414903268,-12.0881
UD:1V: GN 0414904488,-39.2174
UD:1V: GN 0418850013,-2.7980
UD:1V: GN 0418850030,-15.3385
UD:1V: GN 0418850043,26.4695
UD:1V: GN 0418850065,0.0063
UD:1V: GN 0418850090,-181.9617
UD:1V: GN 0418850148,0.5008
UD:1V: GN 0418850157,105.0585
UD:1V: GN 0418850234,-4.7707
UD:1V: GN 0418850242,5.8555
UD:1V: GN 0418850282,1.3609
UD:1V: GN 0418850307,-11.5541
UD:1V: GN 0418850348,1.9617
UD:1V: GN 0418850401,40.4165
UD:1V: GN 0418850415,59.3817
UD:1V: GN 0418850438,-5.5704
UD:1V: GN 0418850476,0.9844
UD:1V: GN 0418850557,0.0802
UD:1V: GN 0418850598,-10.0129
UD:1V: GN 0418850615,12.8542
UD:1V: GN 0418850631,-2.9376
UD:1V: GN 0418850644,0.4162
UD:1V: GN 0418850652,7.3332
UD:1V: GN 0418850662,3.1889
UD:1V: GN 0418850674,0.0543
UD:1V: GN 0418850720,-0.1791
UD:1V: GN 0418850722,0.7276
UD:1V: GN 0418850741,1.3620
UD:1V: GN 0418850799,-0.0204
UD:1V: GN 0418850827,-3.1883
UD:1V: GN 0418850829,-4.9847
UD:1V: GN 0418850856,9.9047
UD:1V: GN 0418850890,-8.0859
UD:1V: GN 0418850907,-206.6058
UD:1V: GN 0418850910,14.7689
UD:1V: GN 0418850913,3.4330
UD:1V: GN 0418850996,13.8181
UD:1V: GN 0418851012,8.4366
UD:1V: GN 0418851022,11.4819
UD:1V: GN 0418851030,-2.5991
UD:1V: GN 0418851053,-4.3580
UD:1V: GN 0418851080,1.4733
UD:1V: GN 0418851113,-208.6132
UD:1V: GN 0418851126,-7.5542
UD:1V: GN 0418851132,1.0865
UD:1V: GN 0418851137,0.1893
UD:1V: GN 0418851188,19.3237
UD:1V: GN 0418851216,-0.0868
UD:1V: GN 0418851257,-3.6451
UD:1V: GN 0418851290,224.3127
UD:1V: GN 0418851321,17.2917
UD:1V: GN 0418851331,-0.6329
UD:1V: GN 0418851332,17.2359
UD:1V: GN 0418851381,-17.9841
UD:1V: GN 0418851387,10.3578
UD:1V: GN 0418851395,-0.3712
UD:1V: GN 0418851409,17.0382
UD:1V: GN 0418851423,-398.4504
UD:1V: GN 0418851440,-0.4124
UD:1V: GN 0418851444,4.7619
UD:1V: GN 0418851532,39.3110
UD:1V: GN 0418851577,37.8372
UD:1V: GN 0418851615,-23.8539
UD:1V: GN 0418851649,-278.8956
UD:1V: GN 0418851650,9.4982
UD:1V: GN 0418851651,12.0432
UD:1V: GN 0418851653,15.5797
UD:1V: GN 0418851654,14.0276
UD:1V: GN 0418851705,17.2699
